事件,模型,Nugget,Sill,Range_m,Range_km,SSE
事件_1_20240725,Spherical,0.3249,0.1567,39337.3,39.34,0.154687
事件_1_20240725,Exponential,0.2611,0.2194,29873.8,29.87,0.157311
事件_2_20251111,Spherical,0.4887,0.2302,32693.1,32.69,0.085345
事件_2_20251111,Exponential,0.3947,0.3239,27495.2,27.5,0.087685
